,eco_code,opening
0,A00,Irregular Openings
1,A01,"Larsen's Opening, 1. b3"
2,A02,"Bird's Opening, 1. f4"
3,A03,"Bird's Opening, 1...d5"
4,A04,"Réti Opening, 1. Nf3"
5,A05,"Reti Opening, 2...Nf6"
6,A06,"Reti Opening, 2...d5"
7,A07,"Reti Opening, King's Indian attack (Barcza system)"
8,A08,"Reti Opening, King's Indian attack"
9,A09,"Reti Opening, 2...d5 3.c4"
10,A10,English Opening
11,A11,"English, Caro-Kann defensive system"
12,A12,"English, Caro-Kann defensive system"
13,A13,English Opening
14,A14,"English, Neo-Catalan declined"
15,A15,"English, 1...Nf6 (Anglo-Indian defence)"
16,A16,English Opening
17,A17,"English Opening, Hedgehog Defence"
18,A18,"English, Mikenas-Carls variation"
19,A19,"English, Mikenas-Carls, Sicilian variation"
20,A20,English Opening
21,A21,English Opening
22,A22,English Opening
23,A23,"English Opening, Bremen system, Keres variation"
24,A24,"English Opening, Bremen system with 3...g6"
25,A25,"English Opening, Sicilian Reversed"
26,A26,"English Opening, Closed system"
27,A27,"English Opening, Three knights system"
28,A28,"English Opening, Four knights system"
29,A29,"English Opening, Four knights, kingside Fianchetto"
30,A30,"English Opening, Symmetrical variation"
31,A31,"English Opening, Symmetrical, Benoni formation"
32,A32,"English Opening, Symmetrical"
33,A33,"English Opening, Symmetrical"
34,A34,"English Opening, Symmetrical"
35,A35,"English Opening, Symmetrical"
36,A36,"English Opening, Symmetrical"
37,A37,"English Opening, Symmetrical"
38,A38,"English Opening, Symmetrical"
39,A39,"English Opening, Symmetrical, Main line with d4"
40,A40,"Queen's Pawn Game (including English Defence, Englund Gambit, Queen's Knight Defence, Polish Defence and Keres Defence)"
41,A41,"Queen's Pawn Game, Wade Defence"
42,A42,"Modern defence, Averbakh system also Wade Defence"
43,A43,Old Benoni defence
44,A44,Old Benoni defence
45,A45,Queen's Pawn Game
46,A46,Queen's Pawn Game
47,A47,Queen's Indian Defence
48,A48,"King's Indian, East Indian defence"
49,A49,"King's Indian, Fianchetto without c4"
50,A50,"Queen's Pawn Game, Black Knights' Tango"
51,A51,Budapest Gambit declined
52,A52,Budapest Gambit
53,A53,Old Indian Defence
54,A54,"Old Indian, Ukrainian variation"
55,A55,"Old Indian, Main line"
56,A56,Benoni Defence
57,A57,Benko gambit
58,A58,Benko gambit accepted
59,A59,"Benko gambit, 7.e4"
60,A60,Benoni defence
61,A61,Benoni defence
62,A62,"Benoni, Fianchetto variation"
63,A63,"Benoni, Fianchetto variation, 9...Nbd7"
64,A64,"Benoni, Fianchetto variation, 11...Re8"
65,A65,"Benoni, 6.e4"
66,A66,"Benoni, pawn storm variation"
67,A67,"Benoni, Taimanov variation"
68,A68,"Benoni, Four pawns attack"
69,A69,"Benoni, Four pawns attack, Main line"
70,A70,"Benoni, Classical with e4 and Nf3"
71,A71,"Benoni, Classical, 8.Bg5"
72,A72,"Benoni, Classical without 9.O-O"
73,A73,"Benoni, Classical, 9.O-O"
74,A74,"Benoni, Classical, 9...a6, 10.a4"
75,A75,"Benoni, Classical with ...a6 and 10...Bg4"
